Issue Type,Summary,Description,Story Points,Parent,Labels
Epic,"V2 Pipeline Operativo + Score V0 Productivo","Objetivo: dejar operativo en producción el pipeline webhook->domain->engine->score y completar Score V0 en API con recompute gate y trazabilidad run_id/snapshot_id.",,,"v2,pipeline,scorev0,sprint"
Story,"Publicar y validar Worker Webhook→Domain en producción","Habilitar en deployment productivo la ruta /api/worker/v2-webhook-to-domain y verificar auth por x-cron-secret/CRON_SECRET. Criterios: sin 404, 401 sin secret, 200 con secret válido.",5,"V2 Pipeline Operativo + Score V0 Productivo","v2,worker,ops,p0"
Sub-task,"Verificar inclusión de route handler en build/deploy","Confirmar que el route handler de /api/worker/v2-webhook-to-domain se incluye en el build del deployment objetivo.",,"Publicar y validar Worker Webhook→Domain en producción","v2,worker,deploy"
Sub-task,"Validar variables de entorno CRON_SECRET","Comprobar presencia y valor operativo de CRON_SECRET en el entorno de despliegue.",,"Publicar y validar Worker Webhook→Domain en producción","v2,worker,security"
Sub-task,"Ejecutar smoke test curl autorizado/no autorizado","Probar endpoint worker: 401 sin secret y 200 con secret válido.",,"Publicar y validar Worker Webhook→Domain en producción","v2,worker,smoke"
Sub-task,"Registrar evidencia de despliegue y respuesta","Guardar evidencia (status codes, payload) en documento operativo del proyecto.",,"Publicar y validar Worker Webhook→Domain en producción","v2,worker,evidence"
Story,"Ejecutar Runbook E2E real (DB + worker + engine)","Ejecutar runbook oficial de punta a punta con evidencia. Criterios: webhook insertado, worker procesa, engine run done, señal events_last_24h, score creado, rerun sin duplicación.",8,"V2 Pipeline Operativo + Score V0 Productivo","v2,e2e,p0"
Sub-task,"Insertar webhook fake y guardar event_id","Ejecutar SQL del runbook para crear evento en v2_webhook_events y guardar event_id.",,"Ejecutar Runbook E2E real (DB + worker + engine)","v2,e2e,db"
Sub-task,"Ejecutar worker HTTP (run 1)","Invocar /api/worker/v2-webhook-to-domain?limit=50 con x-cron-secret.",,"Ejecutar Runbook E2E real (DB + worker + engine)","v2,e2e,worker"
Sub-task,"Ejecutar engine RPC","Ejecutar select public.v2_run_engine_for_store(:store_id::uuid).",,"Ejecutar Runbook E2E real (DB + worker + engine)","v2,e2e,engine"
Sub-task,"Correr queries de validación 4.1–4.4","Validar domain_count=1, engine_runs done, señal events_last_24h, score creado.",,"Ejecutar Runbook E2E real (DB + worker + engine)","v2,e2e,validation"
Sub-task,"Re-ejecutar worker (run 2) y validar idempotencia","Esperado inserted=0 y domain_count permanece en 1.",,"Ejecutar Runbook E2E real (DB + worker + engine)","v2,e2e,idempotency"
Sub-task,"Documentar evidencia final E2E","Publicar resultados, IDs y queries ejecutadas en doc de evidencia.",,"Ejecutar Runbook E2E real (DB + worker + engine)","v2,e2e,evidence"
Story,"Implementar computeScoreV0 (métricas diarias)","Agregar cómputo de métricas desde v2_domain_events y persistencia en v2_metrics_daily con contrato JSONB.",8,"V2 Pipeline Operativo + Score V0 Productivo","v2,scorev0,p1"
Sub-task,"Implementar query agregada por store_id y fecha","Calcular orders/messages/claims diarios por DATE(occurred_at).",,"Implementar computeScoreV0 (métricas diarias)","v2,scorev0,metrics"
Sub-task,"Mapear resultado al contrato JSONB","Garantizar keys int: orders_created_1d, orders_cancelled_1d, messages_received_1d, messages_answered_1d, claims_opened_1d.",,"Implementar computeScoreV0 (métricas diarias)","v2,scorev0,contract"
Sub-task,"Upsert en v2_metrics_daily","Persistir métricas diarias por identidad definida en contrato.",,"Implementar computeScoreV0 (métricas diarias)","v2,scorev0,persistence"
Sub-task,"Tests unitarios de agregación","Cubrir escenarios mínimos de conteo y ventanas.",,"Implementar computeScoreV0 (métricas diarias)","v2,scorev0,tests"
Story,"Implementar evaluateSignals (reglas V0)","Evaluar señales clínicas V0 y persistirlas con severidad, active, penalty y evidence.",5,"V2 Pipeline Operativo + Score V0 Productivo","v2,signals,p1"
Sub-task,"Implementar evaluador de ventanas 7d/14d","Calcular agregados necesarios para reglas no_orders, cancellation_spike, unanswered, claims, low_activity.",,"Implementar evaluateSignals (reglas V0)","v2,signals,rules"
Sub-task,"Generar evidence JSON por señal","Incluir valores y umbrales utilizados para auditar el resultado.",,"Implementar evaluateSignals (reglas V0)","v2,signals,evidence"
Sub-task,"Persistir señales por run","Insertar registros en v2_clinical_signals enlazados a run_id/snapshot_id.",,"Implementar evaluateSignals (reglas V0)","v2,signals,persistence"
Sub-task,"Tests de reglas y umbrales","Validar activación/desactivación de cada señal.",,"Implementar evaluateSignals (reglas V0)","v2,signals,tests"
Story,"Persistir score + snapshot + recompute gate (1h)","Calcular score final, persistir en v2_health_scores, crear snapshot y aplicar recompute gate de 1 hora.",8,"V2 Pipeline Operativo + Score V0 Productivo","v2,scorev0,p1"
Sub-task,"Implementar fórmula final de score","Aplicar score=clamp(100-suma penalidades, 0..100).",,"Persistir score + snapshot + recompute gate (1h)","v2,scorev0,formula"
Sub-task,"Persistir health score","Guardar score con run_id y snapshot_id.",,"Persistir score + snapshot + recompute gate (1h)","v2,scorev0,persistence"
Sub-task,"Persistir snapshot auditable","Guardar payload completo de métricas, señales y score.",,"Persistir score + snapshot + recompute gate (1h)","v2,scorev0,snapshot"
Sub-task,"Implementar recompute gate 1h","Si score reciente existe (<1h), retornar persistido; si no, recalcular.",,"Persistir score + snapshot + recompute gate (1h)","v2,scorev0,gate"
Sub-task,"Tests de idempotencia temporal","Cubrir comportamiento dentro/fuera de la ventana de 1h.",,"Persistir score + snapshot + recompute gate (1h)","v2,scorev0,tests"
Story,"Hardening final + documentación operativa","Actualizar evidencia, runbook y checklist de invariantes para evitar drift documental.",3,"V2 Pipeline Operativo + Score V0 Productivo","v2,docs,p2"
Sub-task,"Actualizar evidencia E2E","Agregar resultados finales de la corrida real.",,"Hardening final + documentación operativa","v2,docs,evidence"
Sub-task,"Actualizar runbook si hubo ajustes","Sincronizar comandos/expectativas según implementación final.",,"Hardening final + documentación operativa","v2,docs,runbook"
Sub-task,"Registrar ADR si cambia arquitectura","Documentar decisiones irreversibles o de alto impacto.",,"Hardening final + documentación operativa","v2,docs,adr"
Sub-task,"Publicar checklist post-deploy","Checklist operativo para monitoreo y rollback.",,"Hardening final + documentación operativa","v2,ops,checklist"
